Tools	High-quality	Medium-quality	Low-quality	Medium	Low	Dataset
VAMB	295	338	360	11	1	Marine
SemiBin2	272	374	413	9	6	Marine
COMEBin	312	399	454	9	7	Marine
GenomeFace	310	387	422	16	3	Marine
TaxVAMB	306	396	450	21	9	Marine
TaxVAMB_wo_taxometer	286	366	424	22	16	Marine
VAMB	24	34	36	10	2	Strain-madness
SemiBin2	44	63	65	19	2	Strain-madness
COMEBin	47	62	70	15	8	Strain-madness
GenomeFace	33	45	52	12	7	Strain-madness
TaxVAMB	14	24	26	10	2	Strain-madness
TaxVAMB_wo_taxometer	11	21	28	10	7	Strain-madness
VAMB	63	74	75	11	1	Plant-associated
SemiBin2	89	98	104	9	6	Plant-associated
COMEBin	84	93	100	9	7	Plant-associated
GenomeFace	83	99	102	16	3	Plant-associated
TaxVAMB	63	84	93	21	9	Plant-associated
TaxVAMB_wo_taxometer	46	68	84	22	16	Plant-associated
